court,surface,round_imp,best_of,player0,player1,player0_rank,player1_rank,winner
Indoor,Hard,7,3,Okun N.,Safin M.,9.0,148.0,player1
Indoor,Hard,7,3,Chiudinelli M.,Srichaphan P.,20.0,144.0,player1
Indoor,Hard,7,3,Parmar A.,Roddick A.,2.0,179.0,player1
Indoor,Hard,6,3,Baccanello P.,Soderling R.,50.0,362.0,player1
Indoor,Hard,6,3,Dent T.,van Scheppingen D.,81.0,34.0,player1
Indoor,Hard,6,3,Vanek J.,Safin M.,9.0,130.0,player1
Indoor,Hard,6,3,Wassen R.,Saretta F.,126.0,542.0,player1
Indoor,Hard,6,3,Heuberger I.,Federer R.,1.0,129.0,player1
Indoor,Hard,6,3,Garcia A.,Johansson T.,48.0,115.0,player1
Indoor,Hard,6,3,Morrison J.,Roddick A.,2.0,97.0,player1
Indoor,Hard,6,3,Bogomolov A.,Srichaphan P.,20.0,102.0,player1
Indoor,Hard,3,3,Soderling R.,Federer R.,1.0,50.0,player1
Indoor,Hard,3,3,Johansson T.,Roddick A.,2.0,48.0,player1
Indoor,Hard,3,3,van Scheppingen D.,Srichaphan P.,20.0,81.0,player1
Indoor,Hard,3,3,Saretta F.,Safin M.,9.0,126.0,player1
Indoor,Hard,2,3,Srichaphan P.,Federer R.,1.0,20.0,player1
Indoor,Hard,2,3,Safin M.,Roddick A.,2.0,9.0,player1
Indoor,Hard,1,3,Roddick A.,Federer R.,1.0,2.0,player1
Outdoor,Clay,7,3,Patience O.,Mutis O.,113.0,107.0,player1
Outdoor,Clay,7,3,Falla A.,Acasuso J.,70.0,118.0,player1
Outdoor,Clay,7,3,Aldi F.,Verdasco F.,38.0,146.0,player1
Outdoor,Clay,7,3,di Mauro A.,Blanco G.,160.0,135.0,player1
Outdoor,Clay,7,3,Elsner D.,Calatrava A.,88.0,152.0,player1
Outdoor,Clay,7,3,Martin A.,Ferrer D.,51.0,68.0,player1
Outdoor,Clay,7,3,Kohlschreiber P.,Monaco J.,86.0,82.0,player1
Outdoor,Clay,7,3,Almagro N.,Nadal R.,49.0,99.0,player1
Outdoor,Clay,7,3,Gimeno-Traver D.,Lopez M.,151.0,171.0,player1
Outdoor,Clay,7,3,di Pasquale A.,Seppi A.,155.0,228.0,player1
Outdoor,Clay,7,3,Puerta M.,Vliegen K.,96.0,261.0,player1
Outdoor,Clay,7,3,Hanescu V.,Davydenko N.,43.0,87.0,player1
Outdoor,Clay,7,3,Montanes A.,Volandri F.,45.0,95.0,player1
Outdoor,Clay,7,3,Gasquet R.,Starace P.,80.0,145.0,player1
Outdoor,Clay,7,3,Hernandez O.,Berdych T.,55.0,124.0,player1
Outdoor,Clay,7,3,Sanchez D.,Massu N.,12.0,72.0,player1
Outdoor,Clay,6,3,Calatrava A.,Ferrer D.,51.0,88.0,player1
Outdoor,Clay,6,3,Lopez M.,Davydenko N.,43.0,151.0,player1
Outdoor,Clay,6,3,Verdasco F.,Monaco J.,86.0,38.0,player1
Outdoor,Clay,6,3,Nadal R.,Mutis O.,113.0,49.0,player1
Outdoor,Clay,6,3,Acasuso J.,Berdych T.,55.0,70.0,player1
Outdoor,Clay,6,3,Blanco G.,Volandri F.,45.0,160.0,player1
Outdoor,Clay,6,3,Starace P.,Massu N.,12.0,80.0,player1
Outdoor,Clay,6,3,Vliegen K.,Seppi A.,155.0,96.0,player1
Outdoor,Clay,3,3,Davydenko N.,Ferrer D.,51.0,43.0,player1
Outdoor,Clay,3,3,Mutis O.,Monaco J.,86.0,113.0,player1
Outdoor,Clay,3,3,Seppi A.,Berdych T.,55.0,155.0,player1
Outdoor,Clay,3,3,Massu N.,Volandri F.,45.0,12.0,player1
